,class1,class2,class_yrs,name,symbol_full_price,symbol_net_price,symbol_total_return,name_short
148,分类指数,信用等级,total_value,中债-高信用等级企业债全价指数,CBA03503.CS,CBA03502.CS,CBA03501.CS,高信用等级企业债全价
155,分类指数,信用等级,total_value,中债-高收益企业债全价指数,CBA03803.CS,CBA03802.CS,CBA03801.CS,高收益企业债全价
162,分类指数,信用等级,total_value,中债-短融AA全价指数,CBA02303.CS,CBA02302.CS,CBA02301.CS,短融AA全价
169,分类指数,信用等级,total_value,中债-企业债AA-全价指数,CBA03903.CS,CBA03902.CS,CBA03901.CS,企业债AA-全价
176,分类指数,信用等级,total_value,中债-企业债AA全价指数,CBA04003.CS,CBA04002.CS,CBA04001.CS,企业债AA全价
183,分类指数,信用等级,total_value,中债-企业债AA+全价指数,CBA04103.CS,CBA04102.CS,CBA04101.CS,企业债AA+全价
190,分类指数,信用等级,total_value,中债-企业债AAA全价指数,CBA04203.CS,CBA04202.CS,CBA04201.CS,企业债AAA全价
197,分类指数,代偿期限,total_value,中债-1-30年利率债全价指数,CBA05903.CS,CBA05902.CS,CBA05901.CS,1-30年利率债全价
204,分类指数,代偿期限,total_value,中债-1-3年政策性金融债全价指数,CBA07403.CS,CBA07402.CS,CBA07401.CS,1-3年政策性金融债全价
211,分类指数,代偿期限,total_value,中债-5年期金融债全价指数,CBA03303.CS,CBA03302.CS,CBA03301.CS,5年期金融债全价
218,分类指数,代偿期限,total_value,中债-0-3个月国债全价指数,CBA07303.CS,CBA07302.CS,CBA07301.CS,0-3个月国债全价
225,分类指数,代偿期限,total_value,中债-5年期国债全价指数,CBA03103.CS,CBA03102.CS,CBA03101.CS,5年期国债全价
232,分类指数,代偿期限,total_value,中债-7-10年国债全价指数,CBA06503.CS,CBA06502.CS,CBA06501.CS,7-10年国债全价
239,分类指数,代偿期限,total_value,中债-10年期国债全价指数,CBA04503.CS,CBA04502.CS,CBA04501.CS,10年期国债全价
246,分类指数,代偿期限,total_value,中债-1-3年国开行债券全价指数,CBA07703.CS,CBA07702.CS,CBA07701.CS,1-3年国开行债券全价
253,分类指数,代偿期限,total_value,中债-3-5年国开行债券全价指数,CBA06303.CS,CBA06302.CS,CBA06301.CS,3-5年国开行债券全价
260,分类指数,代偿期限,total_value,中债-3-7年国开行债券全价指数,CBA07203.CS,CBA07202.CS,CBA07201.CS,3-7年国开行债券全价
267,分类指数,代偿期限,total_value,中债-7-10年国开行债券指数全价指数,CBA05203.CS,CBA05202.CS,CBA05201.CS,7-10年国开行债券全价
274,分类指数,代偿期限,total_value,中债-7-20年国开行债券全价指数,CBA06903.CS,CBA06902.CS,CBA06901.CS,7-20年国开行债券全价
281,分类指数,代偿期限,total_value,中债-10-20年国开行债券全价指数,CBA06203.CS,CBA06202.CS,CBA06201.CS,10-20年国开行债券全价
288,分类指数,代偿期限,total_value,中债-1-3年农发行债券全价指数,CBA07003.CS,CBA07002.CS,CBA07001.CS,1-3年农发行债券全价
295,分类指数,代偿期限,total_value,中债-3-5年农发行债券全价指数,CBA07603.CS,CBA07602.CS,CBA07601.CS,3-5年农发行债券全价
302,分类指数,代偿期限,total_value,中债-7-10年农发行债券全价指数,CBA07103.CS,CBA07102.CS,CBA07101.CS,7-10年农发行债券全价
309,分类指数,代偿期限,total_value,中债-1-5年进出口行债券全价指数,CBA07803.CS,CBA07802.CS,CBA07801.CS,1-5年进出口行债券全价
316,分类指数,代偿期限,total_value,中债-10年期国债期货期限匹配金融债全价指数,CBA05503.CS,CBA05502.CS,CBA05501.CS,10年期国债期货期限匹配金融债全价
323,分类指数,代偿期限,total_value,中债-5年期国债期货期限匹配金融债全价指数,CBA05403.CS,CBA05402.CS,CBA05401.CS,5年期国债期货期限匹配金融债全价
330,分类指数,代偿期限,total_value,中债-中短期债券全价指数,CBA00703.CS,CBA00702.CS,CBA00701.CS,中短期债券全价
337,分类指数,代偿期限,total_value,中债-长期债券全价指数,CBA00803.CS,CBA00802.CS,CBA00801.CS,长期债券全价
344,分类指数,发行期限,total_value,中债-七年期国债全价指数,CBA01603.CS,CBA01602.CS,CBA01601.CS,七年期国债全价
351,分类指数,计息方式,total_value,中债-固定利率债券全价指数,CBA00403.CS,CBA00402.CS,CBA00401.CS,固定利率债券全价
358,分类指数,计息方式,total_value,中债-固定利率国债全价指数,CBA01103.CS,CBA01102.CS,CBA01101.CS,固定利率国债全价
365,分类指数,计息方式,total_value,中债-固定利率金融债全价指数,CBA01303.CS,CBA01302.CS,CBA01301.CS,固定利率金融债全价
372,分类指数,计息方式,total_value,中债-固定利率企业债全价指数,CBA02103.CS,CBA02102.CS,CBA02101.CS,固定利率企业债全价
379,分类指数,计息方式,total_value,中债-浮动利率债券全价指数,CBA00503.CS,CBA00502.CS,CBA00501.CS,浮动利率债券全价
386,分类指数,计息方式,total_value,中债-浮动利率金融债全价指数,CBA01403.CS,CBA01402.CS,CBA01401.CS,浮动利率金融债全价
393,分类指数,发行人类型,total_value,中债-国开行债券总全价指数,CBA02503.CS,CBA02502.CS,CBA02501.CS,国开行债券总全价
400,分类指数,发行人类型,total_value,中债-农发行债券总指数全价指数,CBA05103.CS,CBA05102.CS,CBA05101.CS,农发行债券总全价
407,分类指数,发行人类型,total_value,中债-进出口行债券总指数全价指数,CBA06403.CS,CBA06402.CS,CBA06401.CS,进出口行债券总全价
414,分类指数,发行人类型,total_value,中债-中国铁路总公司债券全价指数,CBA06803.CS,CBA06802.CS,CBA06801.CS,中国铁路总公司债券全价
421,分类指数,发行人类型,total_value,中债-商业银行债券全价指数,CBA02403.CS,CBA02402.CS,CBA02401.CS,商业银行债券全价
428,成分指数族,成分指数族,total_value,中债-央票50全价指数,CBB00103.CS,CBB00102.CS,CBB00101.CS,央票50全价
435,成分指数族,成分指数族,total_value,中债-短融50全价指数,CBB00203.CS,CBB00202.CS,CBB00201.CS,短融50全价
442,策略指数族 ,策略指数族 ,total_value,中债-中国高等级债券全价指数,CBC00103.CS,CBC00102.CS,CBC00101.CS,中国高等级债券全价
449,策略指数族 ,策略指数族 ,total_value,中债-关键期限国债全价指数,CBC00203.CS,CBC00202.CS,CBC00201.CS,关键期限国债全价
456,策略指数族 ,策略指数族 ,total_value,中债-中高等级公司债利差因子全价指数,CBC00703.CS,CBC00702.CS,CBC00701.CS,中高等级公司债利差因子全价
463,投资人分类指数族,投资人分类指数族,total_value,中债-保险机构投资全价指数,CBD00103.CS,CBD00102.CS,CBD00101.CS,保险机构投资全价
470,投资人分类指数族,投资人分类指数族,total_value,中债-商业银行投资全价指数,CBD00203.CS,CBD00202.CS,CBD00201.CS,商业银行投资全价
477,投资人分类指数族,投资人分类指数族,total_value,中债-信托计划投资全价指数,CBD00303.CS,CBD00302.CS,CBD00301.CS,信托计划投资全价
484,投资人分类指数族,投资人分类指数族,total_value,中债-证券公司投资全价指数,CBD00403.CS,CBD00402.CS,CBD00401.CS,证券公司投资全价
491,投资人分类指数族,投资人分类指数族,total_value,中债-证券基金投资全价指数,CBD00503.CS,CBD00502.CS,CBD00501.CS,证券基金投资全价
