Date : 2020-01-01 11:01:22
Directory : c:\ciss_web
Total : 207 files,  100610 codes, 37004 comments, 28962 blanks, all 166576 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\ciss_web\CISS_rc\apps\black_litterman\test_data_CN_bond.py                                  | Python           |         80 |         50 |         85 |        215 |
| c:\ciss_web\CISS_rc\apps\black_litterman\test_data_edb.py                                      | Python           |         55 |         48 |         65 |        168 |
| c:\ciss_web\CISS_rc\apps\black_litterman\test_data_wind.py                                     | Python           |         55 |         19 |         57 |        131 |
| c:\ciss_web\CISS_rc\apps\bond\test_bond_data.py                                                | Python           |         40 |          8 |         37 |         85 |
| c:\ciss_web\CISS_rc\apps\bond\test_bond_ny.py                                                  | Python           |        121 |        101 |         77 |        299 |
| c:\ciss_web\CISS_rc\apps\bond\test_bond_zj.py                                                  | Python           |         84 |         34 |         82 |        200 |
| c:\ciss_web\CISS_rc\apps\bond\test_bonddata_cb.py                                              | Python           |         92 |          1 |         51 |        144 |
| c:\ciss_web\CISS_rc\apps\industrial_rotation\industrial_rotation.py                            | Python           |        409 |        151 |        163 |        723 |
| c:\ciss_web\CISS_rc\apps\industrial_rotation\test_industrial_rotation.py                       | Python           |        300 |        260 |        184 |        744 |
| c:\ciss_web\CISS_rc\apps\industrial_rotation\test_wds_manage.py                                | Python           |        222 |        112 |         94 |        428 |
| c:\ciss_web\CISS_rc\apps\portfolio_simulation\fund_simulation.py                               | Python           |        294 |        117 |        102 |        513 |
| c:\ciss_web\CISS_rc\apps\portfolio_simulation\temp.py                                          | Python           |          0 |          0 |          1 |          1 |
| c:\ciss_web\CISS_rc\apps\portfolio_simulation\test_fund_simu.py                                | Python           |        136 |        135 |         92 |        363 |
| c:\ciss_web\CISS_rc\apps\portfolio_simulation\test_portfolio_data.py                           | Python           |         57 |         18 |         51 |        126 |
| c:\ciss_web\CISS_rc\apps\rc_data\before\dataAPI_choice_Demo_Python3.py                         | Python           |        200 |         28 |         26 |        254 |
| c:\ciss_web\CISS_rc\apps\rc_data\before\dataAPI_choice_Demo_temp.py                            | Python           |         44 |         44 |         14 |        102 |
| c:\ciss_web\CISS_rc\apps\rc_data\rC_Data_Initial.py                                            | Python           |        370 |        284 |         99 |        753 |
| c:\ciss_web\CISS_rc\apps\rc_data\test_Wind.py                                                  | Python           |        140 |        203 |         61 |        404 |
| c:\ciss_web\CISS_rc\apps\rc_data\test_Wind_19.py                                               | Python           |         84 |         46 |         64 |        194 |
| c:\ciss_web\CISS_rc\apps\rc_data\test_Wind_single.py                                           | Python           |         25 |          9 |         11 |         45 |
| c:\ciss_web\CISS_rc\apps\rc_data\test_db_sql_manage.py                                         | Python           |         33 |         11 |         60 |        104 |
| c:\ciss_web\CISS_rc\apps\rc_data\test_oracle_wind.py                                           | Python           |        234 |         57 |         68 |        359 |
| c:\ciss_web\CISS_rc\apps\rc_data\test_wds_by-date.py                                           | Python           |        151 |        526 |        167 |        844 |
| c:\ciss_web\CISS_rc\apps\rc_data\test_wds_manage.py                                            | Python           |        222 |        112 |         94 |        428 |
| c:\ciss_web\CISS_rc\apps\rc_etf\etf\engine_etf.py                                              | Python           |        216 |        147 |        166 |        529 |
| c:\ciss_web\CISS_rc\apps\rc_etf\test_etf_port.py                                               | Python           |         47 |         19 |         81 |        147 |
| c:\ciss_web\CISS_rc\apps\rc_etf\test_pcf_adj.py                                                | Python           |        105 |         55 |         67 |        227 |
| c:\ciss_web\CISS_rc\apps\rc_self\bookmarks_2019.html                                           | HTML             |      2,283 |          3 |          1 |      2,287 |
| c:\ciss_web\CISS_rc\apps\rc_self\bookmarks_2019_chrome.html                                    | HTML             |      2,260 |          3 |          1 |      2,264 |
| c:\ciss_web\CISS_rc\apps\rc_self\bookmarks_2019_t460.html                                      | HTML             |      2,268 |          3 |          1 |      2,272 |
| c:\ciss_web\CISS_rc\apps\rc_self\config_rc.html                                                | HTML             |         50 |          0 |         20 |         70 |
| c:\ciss_web\CISS_rc\apps\rc_self\config_rc.py                                                  | Python           |         41 |         26 |         29 |         96 |
| c:\ciss_web\CISS_rc\apps\rc_self\log_rC_1906.html                                              | HTML             |      1,620 |          4 |        603 |      2,227 |
| c:\ciss_web\CISS_rc\apps\rc_self\log_rC_1907.html                                              | HTML             |      1,151 |         11 |        360 |      1,522 |
| c:\ciss_web\CISS_rc\apps\rc_self\log_rC_1908.html                                              | HTML             |        716 |         35 |        272 |      1,023 |
| c:\ciss_web\CISS_rc\apps\rc_self\log_rC_1909.html                                              | HTML             |        854 |         53 |        266 |      1,173 |
| c:\ciss_web\CISS_rc\apps\rc_self\log_rC_1911.html                                              | HTML             |        817 |         52 |        115 |        984 |
| c:\ciss_web\CISS_rc\apps\rc_self\log_rC_1912.html                                              | HTML             |        834 |         52 |        154 |      1,040 |
| c:\ciss_web\CISS_rc\apps\rc_self\plan_rc_2019.html                                             | HTML             |        217 |         16 |        102 |        335 |
| c:\ciss_web\CISS_rc\apps\rc_stra\rC_Portfolio_17Q1.py                                          | Python           |      1,834 |      1,461 |        532 |      3,827 |
| c:\ciss_web\CISS_rc\apps\rc_stra\rC_Stra_MAX.py                                                | Python           |        919 |        714 |        187 |      1,820 |
| c:\ciss_web\CISS_rc\apps\rc_stra\rC_System_17Q1.py                                             | Python           |        358 |        256 |        163 |        777 |
| c:\ciss_web\CISS_rc\apps\rc_stra\test_Singal.py                                                | Python           |        125 |        126 |         44 |        295 |
| c:\ciss_web\CISS_rc\apps\rc_stra\test_rC_Sys_Update_17Q1.py                                    | Python           |         41 |         24 |         17 |         82 |
| c:\ciss_web\CISS_rc\apps\temp\test_Wind_min.py                                                 | Python           |         66 |         43 |         47 |        156 |
| c:\ciss_web\CISS_rc\apps\temp\test_all_ind-X_v_g.py                                            | Python           |         36 |        104 |         32 |        172 |
| c:\ciss_web\CISS_rc\apps\temp\test_all_ind3_v_g.py                                             | Python           |         43 |         32 |         21 |         96 |
| c:\ciss_web\CISS_rc\apps\temp\test_momemtum.py                                                 | Python           |         21 |         10 |         27 |         58 |
| c:\ciss_web\CISS_rc\apps\temp\test_wind_funda.py                                               | Python           |         20 |         91 |         32 |        143 |
| c:\ciss_web\CISS_rc\apps\test.py                                                               | Python           |         11 |         18 |         22 |         51 |
| c:\ciss_web\CISS_rc\apps\topic_space\info.html                                                 | HTML             |          3 |          0 |         18 |         21 |
| c:\ciss_web\CISS_rc\apps\topic_space\macro_topics_2019.html                                    | HTML             |         15 |          0 |          1 |         16 |
| c:\ciss_web\CISS_rc\apps\trading_risks\ret_stat.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\ciss_web\CISS_rc\apps\trading_risks\trade_risks_1min.py                                     | Python           |         55 |          9 |         52 |        116 |
| c:\ciss_web\CISS_rc\apps\web_spider\test_amac_list.py                                          | Python           |         55 |         71 |        109 |        235 |
| c:\ciss_web\CISS_rc\bin\abm_engine.py                                                          | Python           |        808 |        550 |        211 |      1,569 |
| c:\ciss_web\CISS_rc\bin\engine_funds.py                                                        | Python           |         30 |          2 |         11 |         43 |
| c:\ciss_web\CISS_rc\bin\engine_portfolio.py                                                    | Python           |        450 |        415 |        197 |      1,062 |
| c:\ciss_web\CISS_rc\bin\engine_portfolio_us.py                                                 | Python           |        379 |        297 |        170 |        846 |
| c:\ciss_web\CISS_rc\bin\engine_risk.py                                                         | Python           |         27 |          3 |         17 |         47 |
| c:\ciss_web\CISS_rc\bin\function_strategy.py                                                   | Python           |         32 |          5 |         53 |         90 |
| c:\ciss_web\CISS_rc\bin\portfolio_statistics.py                                                | Python           |        142 |         86 |         82 |        310 |
| c:\ciss_web\CISS_rc\bin\stra_evaluation.py                                                     | Python           |         23 |          1 |         15 |         39 |
| c:\ciss_web\CISS_rc\config\config_IO.py                                                        | Python           |        102 |         22 |         34 |        158 |
| c:\ciss_web\CISS_rc\config\config_account.py                                                   | Python           |         14 |          7 |         13 |         34 |
| c:\ciss_web\CISS_rc\config\config_apps_abm.py                                                  | Python           |         20 |          8 |         14 |         42 |
| c:\ciss_web\CISS_rc\config\config_data.py                                                      | Python           |         33 |         12 |         51 |         96 |
| c:\ciss_web\CISS_rc\config\config_indicator.py                                                 | Python           |         24 |          7 |         21 |         52 |
| c:\ciss_web\CISS_rc\config\config_port.py                                                      | Python           |         16 |          5 |         27 |         48 |
| c:\ciss_web\CISS_rc\db\accounts.py                                                             | Python           |        287 |        156 |         93 |        536 |
| c:\ciss_web\CISS_rc\db\algo_opt.py                                                             | Python           |         36 |          7 |         16 |         59 |
| c:\ciss_web\CISS_rc\db\analysis_indicators.py                                                  | Python           |         79 |         40 |         61 |        180 |
| c:\ciss_web\CISS_rc\db\assets.py                                                               | Python           |         98 |         42 |         52 |        192 |
| c:\ciss_web\CISS_rc\db\basics.py                                                               | Python           |        100 |         26 |         45 |        171 |
| c:\ciss_web\CISS_rc\db\data_io.py                                                              | Python           |        309 |        144 |        128 |        581 |
| c:\ciss_web\CISS_rc\db\db_assets\bond_cn.py                                                    | Python           |          0 |          0 |          7 |          7 |
| c:\ciss_web\CISS_rc\db\db_assets\get_choice.py                                                 | Python           |         16 |          2 |          3 |         21 |
| c:\ciss_web\CISS_rc\db\db_assets\get_wind.py                                                   | Python           |        609 |        368 |        156 |      1,133 |
| c:\ciss_web\CISS_rc\db\db_assets\get_wind_wds.py                                               | Python           |        217 |         96 |        101 |        414 |
| c:\ciss_web\CISS_rc\db\db_assets\stock_us_hk.py                                                | Python           |        123 |         33 |         38 |        194 |
| c:\ciss_web\CISS_rc\db\db_assets\stocks_funda_wash.py                                          | Python           |        213 |        104 |         41 |        358 |
| c:\ciss_web\CISS_rc\db\func_stra.py                                                            | Python           |        109 |         64 |         82 |        255 |
| c:\ciss_web\CISS_rc\db\funds.py                                                                | Python           |         45 |         10 |         24 |         79 |
| c:\ciss_web\CISS_rc\db\groups.py                                                               | Python           |         41 |          2 |         21 |         64 |
| c:\ciss_web\CISS_rc\db\institutes.py                                                           | Python           |         26 |          9 |         18 |         53 |
| c:\ciss_web\CISS_rc\db\markets.py                                                              | Python           |         13 |          1 |          5 |         19 |
| c:\ciss_web\CISS_rc\db\ports.py                                                                | Python           |        426 |        134 |        121 |        681 |
| c:\ciss_web\CISS_rc\db\signals.py                                                              | Python           |         79 |         33 |         29 |        141 |
| c:\ciss_web\CISS_rc\db\stockpools.py                                                           | Python           |         74 |         13 |         17 |        104 |
| c:\ciss_web\CISS_rc\db\times.py                                                                | Python           |        181 |        103 |         58 |        342 |
| c:\ciss_web\CISS_rc\db\trades.py                                                               | Python           |        309 |        187 |        105 |        601 |
| c:\ciss_web\CISS_rc\db\users.py                                                                | Python           |         61 |         16 |         72 |        149 |
| c:\ciss_web\CISS_rc\docs\5min_ciss.html                                                        | HTML             |        105 |          4 |         41 |        150 |
| c:\ciss_web\CISS_rc\docs\data_manage.html                                                      | HTML             |        156 |          4 |         99 |        259 |
| c:\ciss_web\CISS_rc\docs\esse_func.html                                                        | HTML             |        230 |          4 |        113 |        347 |
| c:\ciss_web\CISS_rc\docs\index_ciss.html                                                       | HTML             |        230 |          4 |        114 |        348 |
| c:\ciss_web\CISS_rc\docs\log_arch_desi.html                                                    | HTML             |         79 |          3 |         12 |         94 |
| c:\ciss_web\CISS_rc\docs\modules\log_TEMPLATE.html                                             | HTML             |        111 |          3 |         60 |        174 |
| c:\ciss_web\CISS_rc\docs\modules\log_dev_ports.html                                            | HTML             |        119 |          3 |         59 |        181 |
| c:\ciss_web\CISS_rc\docs\multi_asset.html                                                      | HTML             |        230 |          4 |        113 |        347 |
| c:\ciss_web\CISS_rc\docs\port_simu.html                                                        | HTML             |        230 |          4 |        113 |        347 |
| c:\ciss_web\CISS_rc\docs\stra_ana.html                                                         | HTML             |        150 |          4 |         68 |        222 |
| c:\ciss_web\CISS_rc\docs\stra_eval.html                                                        | HTML             |        230 |          4 |        113 |        347 |
| c:\ciss_web\CISS_rc\docs\update_coop_opensource.html                                           | HTML             |        230 |          4 |        113 |        347 |
| c:\ciss_web\CISS_rc\tests\data_manage\test_json.py                                             | Python           |         12 |          4 |         10 |         26 |
| c:\ciss_web\ciss_exhi\__init__.py                                                              | Python           |          0 |          0 |          1 |          1 |
| c:\ciss_web\ciss_exhi\admin.py                                                                 | Python           |         20 |         18 |         12 |         50 |
| c:\ciss_web\ciss_exhi\apps.py                                                                  | Python           |          3 |          0 |          3 |          6 |
| c:\ciss_web\ciss_exhi\forms.py                                                                 | Python           |          6 |          7 |          6 |         19 |
| c:\ciss_web\ciss_exhi\migrations\0001_initial.py                                               | Python           |        216 |          1 |          7 |        224 |
| c:\ciss_web\ciss_exhi\migrations\0002_auto_20190108_1434.py                                    | Python           |         49 |          1 |          6 |         56 |
| c:\ciss_web\ciss_exhi\migrations\0003_auto_20190108_1444.py                                    | Python           |         47 |          1 |          6 |         54 |
| c:\ciss_web\ciss_exhi\migrations\0004_auto_20190108_1453.py                                    | Python           |         97 |          1 |          6 |        104 |
| c:\ciss_web\ciss_exhi\migrations\0005_auto_20190109_0841.py                                    | Python           |         17 |          1 |          6 |         24 |
| c:\ciss_web\ciss_exhi\migrations\0006_auto_20190109_0853.py                                    | Python           |         23 |          1 |          6 |         30 |
| c:\ciss_web\ciss_exhi\migrations\0007_portfolio_port_id.py                                     | Python           |         12 |          1 |          6 |         19 |
| c:\ciss_web\ciss_exhi\migrations\0008_auto_20190114_1523.py                                    | Python           |         56 |          1 |          6 |         63 |
| c:\ciss_web\ciss_exhi\migrations\0009_strategy_stra_link.py                                    | Python           |         12 |          1 |          6 |         19 |
| c:\ciss_web\ciss_exhi\migrations\0010_auto_20191119_1450.py                                    | Python           |         47 |          1 |          6 |         54 |
| c:\ciss_web\ciss_exhi\migrations\0011_strategy_stra_date_begin.py                              | Python           |         13 |          1 |          6 |         20 |
| c:\ciss_web\ciss_exhi\migrations\0012_auto_20191122_1707.py                                    | Python           |         17 |          1 |          6 |         24 |
| c:\ciss_web\ciss_exhi\migrations\__init__.py                                                   | Python           |          0 |          0 |          1 |          1 |
| c:\ciss_web\ciss_exhi\models.py                                                                | Python           |        155 |         62 |         57 |        274 |
| c:\ciss_web\ciss_exhi\search_indexes.py                                                        | Python           |         17 |         21 |          8 |         46 |
| c:\ciss_web\ciss_exhi\tests.py                                                                 | Python           |          1 |          1 |          2 |          4 |
| c:\ciss_web\ciss_exhi\urls.py                                                                  | Python           |         31 |         35 |         19 |         85 |
| c:\ciss_web\ciss_exhi\views.py                                                                 | Python           |        550 |        348 |        222 |      1,120 |
| c:\ciss_web\ciss_vue\element-ui_basic.html                                                     | HTML             |        333 |          4 |         64 |        401 |
| c:\ciss_web\ciss_vue\element-ui_form.html                                                      | HTML             |        733 |          3 |         64 |        800 |
| c:\ciss_web\ciss_vue\element-ui_form2.html                                                     | HTML             |        806 |          1 |         67 |        874 |
| c:\ciss_web\ciss_vue\element-ui_form3.html                                                     | HTML             |      1,042 |          1 |        103 |      1,146 |
| c:\ciss_web\ciss_vue\element-ui_form4.html                                                     | HTML             |      1,523 |          1 |         71 |      1,595 |
| c:\ciss_web\ciss_vue\element-ui_temp.html                                                      | HTML             |         26 |          1 |         45 |         72 |
| c:\ciss_web\ciss_vue\vue_learn.html                                                            | HTML             |        655 |          9 |        128 |        792 |
| c:\ciss_web\ciss_web\__init__.py                                                               | Python           |          0 |          0 |          1 |          1 |
| c:\ciss_web\ciss_web\settings.py                                                               | Python           |         84 |         64 |         59 |        207 |
| c:\ciss_web\ciss_web\urls.py                                                                   | Python           |         12 |         46 |         21 |         79 |
| c:\ciss_web\ciss_web\views.py                                                                  | Python           |         10 |          8 |          5 |         23 |
| c:\ciss_web\ciss_web\wsgi.py                                                                   | Python           |          4 |          8 |          5 |         17 |
| c:\ciss_web\log_rC_1904.html                                                                   | HTML             |        651 |          4 |        239 |        894 |
| c:\ciss_web\log_rC_1905.html                                                                   | HTML             |      1,249 |          4 |      1,136 |      2,389 |
| c:\ciss_web\log_rC_1905_etf.html                                                               | HTML             |        421 |          2 |        625 |      1,048 |
| c:\ciss_web\log_rC_1906.html                                                                   | HTML             |        243 |          4 |        144 |        391 |
| c:\ciss_web\manage.py                                                                          | Python           |         13 |          1 |          2 |         16 |
| c:\ciss_web\models.json                                                                        | JSON             |          1 |          0 |          0 |          1 |
| c:\ciss_web\models.py                                                                          | Python           |        224 |          7 |         73 |        304 |
| c:\ciss_web\requirements.txt                                                                   | pip requirements |          1 |          2 |         22 |         25 |
| c:\ciss_web\static\echarts-4\dark.js                                                           | JavaScript       |        142 |          3 |          2 |        147 |
| c:\ciss_web\static\echarts-4\echarts-gl.min.js                                                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\ciss_web\static\echarts-4\echarts.js                                                        | JavaScript       |     53,572 |     24,269 |     12,507 |     90,348 |
| c:\ciss_web\static\echarts-4\vintage.js                                                        | JavaScript       |         27 |          3 |          0 |         30 |
| c:\ciss_web\static\echarts-4\world.js                                                          | JavaScript       |         24 |          3 |          0 |         27 |
| c:\ciss_web\static\jquery-3.3.1.min.js                                                         | JavaScript       |          1 |          1 |          1 |          3 |
| c:\ciss_web\static\templates\base.html                                                         | HTML             |         74 |         11 |         50 |        135 |
| c:\ciss_web\static\templates\base_docs.html                                                    | HTML             |         81 |         11 |         53 |        145 |
| c:\ciss_web\static\templates\ciss_exhi\data\data_log.html                                      | HTML             |         54 |          5 |         26 |         85 |
| c:\ciss_web\static\templates\ciss_exhi\data\db_wind_wds\log_191118.html                        | HTML             |      1,091 |          8 |        357 |      1,456 |
| c:\ciss_web\static\templates\ciss_exhi\data\index_data.html                                    | HTML             |         30 |          1 |         24 |         55 |
| c:\ciss_web\static\templates\ciss_exhi\data\knowledge\data_study_postgresql.html               | HTML             |        210 |          2 |         57 |        269 |
| c:\ciss_web\static\templates\ciss_exhi\docs\5min_ciss.html                                     | HTML             |         36 |          1 |         21 |         58 |
| c:\ciss_web\static\templates\ciss_exhi\docs\data_manage.html                                   | HTML             |         84 |          1 |         91 |        176 |
| c:\ciss_web\static\templates\ciss_exhi\docs\esse_func.html                                     | HTML             |        110 |          1 |         76 |        187 |
| c:\ciss_web\static\templates\ciss_exhi\docs\index_ciss.html                                    | HTML             |        111 |          1 |         87 |        199 |
| c:\ciss_web\static\templates\ciss_exhi\docs\multi_asset.html                                   | HTML             |         28 |          1 |         32 |         61 |
| c:\ciss_web\static\templates\ciss_exhi\docs\port_simu.html                                     | HTML             |        114 |          1 |         93 |        208 |
| c:\ciss_web\static\templates\ciss_exhi\docs\stra_ana.html                                      | HTML             |         27 |          1 |         18 |         46 |
| c:\ciss_web\static\templates\ciss_exhi\docs\stra_eval.html                                     | HTML             |         28 |          1 |         28 |         57 |
| c:\ciss_web\static\templates\ciss_exhi\docs\update_coop_opensource.html                        | HTML             |         28 |          1 |         27 |         56 |
| c:\ciss_web\static\templates\ciss_exhi\docs\web_plat.html                                      | HTML             |         65 |          1 |         29 |         95 |
| c:\ciss_web\static\templates\ciss_exhi\etf\etf_data.html                                       | HTML             |        127 |          9 |         44 |        180 |
| c:\ciss_web\static\templates\ciss_exhi\event\index_event.html                                  | HTML             |         48 |          1 |         26 |         75 |
| c:\ciss_web\static\templates\ciss_exhi\index_ciss.html                                         | HTML             |        240 |         63 |         60 |        363 |
| c:\ciss_web\static\templates\ciss_exhi\json\tree_stra_s.json                                   | JSON             |        186 |          0 |          1 |        187 |
| c:\ciss_web\static\templates\ciss_exhi\portfolio\index_port.html                               | HTML             |         58 |          2 |         28 |         88 |
| c:\ciss_web\static\templates\ciss_exhi\portfolio\port_single.html                              | HTML             |        304 |          5 |         80 |        389 |
| c:\ciss_web\static\templates\ciss_exhi\strategy\data\jny.json                                  | JSON             |          1 |          0 |          0 |          1 |
| c:\ciss_web\static\templates\ciss_exhi\strategy\index_stra.html                                | HTML             |        171 |         35 |         71 |        277 |
| c:\ciss_web\static\templates\ciss_exhi\strategy\stra_abm_rc.html                               | HTML             |        151 |         20 |         29 |        200 |
| c:\ciss_web\static\templates\ciss_exhi\strategy\stra_bond_jny.html                             | HTML             |        411 |          7 |         59 |        477 |
| c:\ciss_web\static\templates\ciss_exhi\strategy\stra_bond_jny2.html                            | HTML             |        307 |         10 |         57 |        374 |
| c:\ciss_web\static\templates\ciss_exhi\strategy\stra_cs_index_enhance3.html                    | HTML             |        182 |         21 |         30 |        233 |
| c:\ciss_web\static\templates\ciss_exhi\strategy\stra_cs_institute_insurance_holdings_1911.html | HTML             |        167 |         21 |         32 |        220 |
